delivery_id,delivery_partner,package_type,package_weight_kg,vehicle_type,delivery_mode,region,customer_address,latitude,longitude,warehouse_latitude,warehouse_longitude,weather_condition,distance_km,package_weight_kg,delivery_status,delivery_cost
250.99,blue dart,furniture,29.6,ev bike,standard,central,"House 15, Hauz Khas, New Delhi",28.53084,77.31298,28.6417,77.22177,cold,125,39.41,delivered,743.23
250.99,blue dart,groceries,9.48,ev bike,same day,west,"House 154, Lajpat Nagar, New Delhi",28.75169,77.33706,28.6417,77.22177,hot,103.2,37.97,delivered,729.91
250.99,blue dart,electronics,5.04,van,same day,central,"House 186, Mayur Vihar, New Delhi",28.73706,77.0994,28.6417,77.22177,clear,111.9,26.34,delivered,738.52
250.99,blue dart,automobile parts,9.54,ev bike,standard,west,"House 486, Connaught Place, New Delhi",28.41533,77.31889,28.6417,77.22177,clear,235.6,48.07,delivered,1322.21
250.99,blue dart,pharmacy,0.43,truck,same day,south,"House 226, Mayur Vihar, New Delhi",28.40028,77.13383,28.6417,77.22177,cold,295.5,48.45,delivered,1632.7206
250.99,blue dart,pharmacy,0.06,truck,two day,west,"House 33, Civil Lines, New Delhi",28.757,76.88137,28.6417,77.22177,foggy,56.3,43.65,delivered,412.45
250.99,blue dart,groceries,8.49,ev van,express,south,"House 344, Ashok Vihar, New Delhi",28.57201,77.18674,28.6417,77.22177,rainy,247.9,5.23,failed,1305.19
250.99,blue dart,fragile items,2.33,truck,two day,south,"House 359, Okhla, New Delhi",28.66037,77.23376,28.6417,77.22177,hot,59.5,7.79,delivered,320.87
250.99,blue dart,fragile items,2.56,truck,same day,west,"House 350, Janakpuri, New Delhi",28.87898,77.06218,28.6417,77.22177,hot,127.8,20.03,delivered,799.09
250.99,blue dart,pharmacy,0.6,bike,standard,east,"House 58, Malviya Nagar, New Delhi",28.55298,76.8455,28.6417,77.22177,clear,189.3,30.78,delivered,1038.84
250.99,blue dart,cosmetics,0.27,truck,two day,north,"House 136, Vasant Kunj, New Delhi",28.84317,76.9507,28.6417,77.22177,cold,289,48.99,delivered,1591.97
250.99,blue dart,groceries,4.46,ev bike,same day,central,"House 374, Sarita Vihar, New Delhi",28.72135,76.99044,28.6417,77.22177,cold,101.1,9.76,delivered,634.78
250.99,blue dart,furniture,33.96,truck,standard,north,"House 272, Ashok Vihar, New Delhi",28.86364,76.87826,28.6417,77.22177,hot,42.6,44.55,delivered,346.65
250.99,blue dart,pharmacy,0.93,truck,two day,north,"House 461, Chandni Chowk, New Delhi",28.83268,77.24014,28.6417,77.22177,hot,194.9,2.42,delivered,981.76
250.99,blue dart,clothing,1.62,van,same day,north,"House 330, Mayur Vihar, New Delhi",28.53108,77.01224,28.6417,77.22177,clear,282.9,31.33,delayed,1608.49
250.99,blue dart,pharmacy,0.74,van,same day,east,"House 276, Connaught Place, New Delhi",28.68181,77.18583,28.6417,77.22177,hot,258.3,42.79,delayed,1519.87
250.99,blue dart,cosmetics,0.96,ev bike,two day,central,"House 169, Mayur Vihar, New Delhi",28.87331,76.87351,28.6417,77.22177,hot,88.6,8.67,delivered,469.01
250.99,blue dart,fragile items,3.56,scooter,standard,central,"House 493, Patel Nagar, New Delhi",28.4049,76.95088,28.6417,77.22177,clear,262.7,28.7,delivered,1399.6
250.99,blue dart,documents,0.44,truck,same day,east,"House 293, Ashok Vihar, New Delhi",28.72428,77.07525,28.6417,77.22177,foggy,123.5,29.37,delayed,805.61
261,blue dart,cosmetics,0.42,ev van,standard,east,"House 495, Pitampura, New Delhi",28.71923,76.95141,28.6417,77.22177,stormy,150.7,17.56,delivered,806.18
278,blue dart,furniture,51.77,ev bike,same day,west,"House 494, Shalimar Bagh, New Delhi",28.52067,77.03862,28.6417,77.22177,stormy,191.2,5.3,delayed,1071.9
291,blue dart,cosmetics,0.3,ev bike,standard,central,"House 12, Karol Bagh, New Delhi",28.48762,77.27702,28.6417,77.22177,hot,103.9,11.4,delivered,553.7
297,blue dart,electronics,7.97,bike,standard,south,"House 260, Lajpat Nagar, New Delhi",28.54186,76.86116,28.6417,77.22177,foggy,250.7,11.8,delivered,1288.9
302,blue dart,clothing,2.65,scooter,express,north,"House 483, Mayur Vihar, New Delhi",28.44163,77.22,28.6417,77.22177,foggy,167.7,20.09,delayed,948.77
334,blue dart,electronics,7.2,ev bike,standard,north,"House 336, Punjabi Bagh, New Delhi",28.54698,77.13185,28.6417,77.22177,cold,166.8,28.47,delivered,919.41
336,blue dart,cosmetics,0.12,truck,express,north,"House 362, Malviya Nagar, New Delhi",28.68123,77.12177,28.6417,77.22177,cold,46.2,34,delivered,383
361,blue dart,cosmetics,1.9,bike,same day,east,"House 112, Patel Nagar, New Delhi",28.83505,77.08711,28.6417,77.22177,clear,3.6,33.73,delivered,218.19
375,blue dart,electronics,4.59,ev van,standard,east,"House 272, Tilak Nagar, New Delhi",28.78393,77.13851,28.6417,77.22177,hot,207.9,44.9,delivered,1174.2
388,blue dart,documents,0.15,ev bike,two day,central,"House 386, Rajouri Garden, New Delhi",28.4304,76.9887,28.6417,77.22177,hot,297.1,42.42,delivered,1621.26
396,blue dart,cosmetics,0.72,ev bike,two day,south,"House 170, Dwarka, New Delhi",28.43128,77.33739,28.6417,77.22177,clear,194.6,47.14,delivered,1114.42
427,blue dart,groceries,4.98,ev van,express,central,"House 420, Pitampura, New Delhi",28.50343,76.88192,28.6417,77.22177,foggy,207.2,13.92,delivered,1127.76
428,blue dart,furniture,63.77,scooter,same day,west,"House 230, Vasant Kunj, New Delhi",28.42327,77.18771,28.6417,77.22177,stormy,84.6,10.04,delivered,553.12
433,blue dart,electronics,6.45,bike,express,west,"House 6, Janakpuri, New Delhi",28.68259,77.0702,28.6417,77.22177,clear,166.1,27.21,delayed,962.13
459,blue dart,automobile parts,2.33,truck,two day,south,"House 486, Civil Lines, New Delhi",28.42625,76.93796,28.6417,77.22177,stormy,45,41,delivered,348
472,blue dart,automobile parts,8.32,ev bike,two day,south,"House 400, Pitampura, New Delhi",28.70316,77.32425,28.6417,77.22177,foggy,77.4,31.25,delivered,480.75
476,blue dart,automobile parts,10.17,bike,two day,east,"House 118, Rohini, New Delhi",28.5661,76.8578,28.6417,77.22177,rainy,250.3,48.18,delivered,1396.04
477,blue dart,groceries,package_weight_kg,ev van,express,north,"House 366, Punjabi Bagh, New Delhi",28.70326,77.27493,28.6417,77.22177,foggy,128.2,12.63,delayed,728.89
482,blue dart,fragile items,11.71,ev van,two day,south,"House 19, Sarita Vihar, New Delhi",28.70941,77.28736,28.6417,77.22177,cold,71.9,31.14,delivered,452.92
484,blue dart,clothing,65.5,truck,standard,central,"House 406, Okhla, New Delhi",28.42696,77.01367,28.6417,77.22177,hot,227.7,17.83,delivered,1191.99
492,blue dart,electronics,27.64,ev bike,same day,central,"House 431, Karol Bagh, New Delhi",28.69177,76.90337,28.6417,77.22177,foggy,11.5,38.37,delivered,272.61
504,blue dart,clothing,76.98,ev bike,same day,west,"House 330, Pitampura, New Delhi",28.53338,77.33222,28.6417,77.22177,foggy,86.5,27.23,delivered,614.19
513,blue dart,clothing,57.95,truck,standard,central,"House 145, Vasant Kunj, New Delhi",28.7008,76.97412,28.6417,77.22177,cold,110.5,11.95,delivered,588.35
514,blue dart,documents,26.21,bike,standard,south,"House 64, Punjabi Bagh, New Delhi",28.76791,76.94512,28.6417,77.22177,hot,116,27.02,delivered,661.06
517,blue dart,furniture,58.81,bike,two day,central,"House 393, Kalkaji, New Delhi",28.5639,77.12133,28.6417,77.22177,rainy,127.3,0.71,delivered,638.63
524,blue dart,pharmacy,44.93,bike,standard,central,"House 383, Defence Colony, New Delhi",28.63505,77.32541,28.6417,77.22177,cold,24.8,0.67,delivered,125.47
545,blue dart,documents,34,bike,same day,north,"House 167, Karol Bagh, New Delhi",28.75204,77.23728,28.6417,77.22177,rainy,21.4,30.89,delivered,299.67
551,blue dart,cosmetics,75.74,bike,standard,south,"House 473, Kalkaji, New Delhi",28.69536,77.28774,28.6417,77.22177,rainy,7.3,13.91,delivered,95.6674
553,blue dart,fragile items,64.32,ev van,express,south,"House 272, Karol Bagh, New Delhi",28.4739,77.31639,28.6417,77.22177,stormy,264,14.26,delayed,1412.78
558,blue dart,furniture,24.41,ev van,two day,north,"House 130, Chandni Chowk, New Delhi",28.63614,77.18772,28.6417,77.22177,cold,152.3,40.5,delivered,883
559,blue dart,pharmacy,49.2,van,standard,east,"House 171, Shahdara, New Delhi",28.45346,77.16032,28.6417,77.22177,hot,128,32.42,delivered,737.26
560,blue dart,cosmetics,61.08,ev bike,same day,central,"House 117, Patel Nagar, New Delhi",28.65861,77.28956,28.6417,77.22177,cold,65.4,25.37,delivered,503.11
582,blue dart,pharmacy,36.95,truck,express,north,"House 12, Karol Bagh, New Delhi",28.81371,77.13857,28.6417,77.22177,hot,193.4,35.8,delayed,1124.4
589,blue dart,fragile items,5.04,ev bike,express,south,"House 219, Rohini, New Delhi",28.8714,77.04032,28.6417,77.22177,foggy,268.6,42.34,delayed,1520.02
590,blue dart,clothing,38.33,ev bike,same day,north,"House 383, Mayur Vihar, New Delhi",28.64038,77.31821,28.6417,77.22177,clear,285.3,28.83,delivered,1612.99
591,blue dart,documents,18.05,ev van,express,north,"House 410, Kirti Nagar, New Delhi",28.76365,77.25525,28.6417,77.22177,cold,297.1,26.18,delayed,1624.04
596,blue dart,electronics,55.77,bike,express,central,"House 139, Vasant Kunj, New Delhi",28.79221,77.18367,28.6417,77.22177,clear,244.9,34.83,delayed,1378.99
598,blue dart,pharmacy,59.09,bike,same day,north,"House 217, Malviya Nagar, New Delhi",28.42758,77.0623,28.6417,77.22177,hot,213,14.1,delayed,1207.3
602,blue dart,automobile parts,13.16,truck,two day,north,"House 142, Lajpat Nagar, New Delhi",28.43883,77.11482,28.6417,77.22177,stormy,174.5,18.6,delivered,928.3
605,blue dart,furniture,73.82,bike,standard,north,"House 149, Preet Vihar, New Delhi",28.60793,77.21796,28.6417,77.22177,rainy,77.4,24.17,delivered,459.51
610,blue dart,pharmacy,30.2,bike,express,south,"House 277, Chandni Chowk, New Delhi",28.74539,77.11621,28.6417,77.22177,foggy,189.5,44.41,delayed,1130.73
611,blue dart,electronics,37.42,truck,two day,east,"House 462, Civil Lines, New Delhi",28.48004,76.91236,28.6417,77.22177,foggy,10.4,41.55,delivered,176.65
613,blue dart,documents,54.02,ev bike,express,central,"House 455, Rajouri Garden, New Delhi",28.71307,77.16576,28.6417,77.22177,clear,120.5,0.67,failed,654.48
639,blue dart,automobile parts,41.08,van,express,west,"House 37, Malviya Nagar, New Delhi",28.73839,76.85031,28.6417,77.22177,cold,126.1,12.09,delayed,716.77
643,blue dart,cosmetics,55.37,truck,two day,west,"House 291, Ashok Vihar, New Delhi",28.66453,77.31641,28.6417,77.22177,cold,148.3,46.62,delivered,881.36
650,blue dart,pharmacy,53.69,ev van,two day,north,"House 76, Chandni Chowk, New Delhi",28.80672,77.13417,28.6417,77.22177,hot,78.5,21.57,delivered,457.21
654,blue dart,fragile items,44.09,scooter,same day,east,"House 234, Vasant Kunj, New Delhi",28.50045,77.29563,28.6417,77.22177,rainy,187.3,39.79,failed,1155.87
668,blue dart,clothing,7.01,van,standard,north,"House 110, Chandni Chowk, New Delhi",28.86006,77.3446,28.6417,77.22177,rainy,123.2,19.69,delivered,675.07
686,blue dart,automobile parts,30.83,bike,same day,west,"House 97, Lajpat Nagar, New Delhi",28.52589,77.00314,28.6417,77.22177,cold,178.5,21.49,delivered,1056.97
690,blue dart,clothing,7.85,van,express,west,"House 66, Pitampura, New Delhi",28.71576,76.98583,28.6417,77.22177,foggy,244.8,12.17,delayed,1310.51
692,blue dart,furniture,35.72,bike,express,west,"House 444, Shalimar Bagh, New Delhi",28.68382,77.02779,28.6417,77.22177,foggy,202.9,11.53,delayed,1099.09
716,blue dart,electronics,40.33,van,standard,north,"House 449, Janakpuri, New Delhi",28.72844,77.18576,28.6417,77.22177,stormy,162.9,45.79,delivered,951.87
723,blue dart,automobile parts,27.38,ev bike,express,east,"House 397, Model Town, New Delhi",28.4965,76.96863,28.6417,77.22177,foggy,201.6,18.09,delayed,1112.27
725,blue dart,fragile items,5.88,van,same day,south,"House 487, Nehru Place, New Delhi",28.57924,77.06797,28.6417,77.22177,clear,106.9,47.76,delivered,777.78
741,blue dart,furniture,61.29,ev bike,two day,south,"House 418, Shalimar Bagh, New Delhi",28.60644,77.13326,28.6417,77.22177,stormy,209.6,37.45,delivered,1160.35
745,blue dart,cosmetics,25.76,ev van,standard,north,"House 464, Shahdara, New Delhi",28.53437,77.01054,28.6417,77.22177,foggy,162.8,20.27,delivered,874.81
766,blue dart,documents,41.3,bike,same day,central,"House 160, Model Town, New Delhi",28.4936,77.15878,28.6417,77.22177,hot,31.8,36.96,delivered,369.88
775,blue dart,groceries,38.11,ev van,two day,east,"House 324, Tilak Nagar, New Delhi",28.60141,77.06821,28.6417,77.22177,cold,40.2,28.66,delivered,286.98
780,blue dart,furniture,45.52,ev van,same day,west,"House 308, Punjabi Bagh, New Delhi",28.49185,77.264,28.6417,77.22177,cold,162.7,10.53,delivered,945.09
781,blue dart,cosmetics,78.2,van,standard,west,"House 144, Lajpat Nagar, New Delhi",28.47754,77.15709,28.6417,77.22177,stormy,231,6.71,delivered,1175.13
794,blue dart,documents,18.61,van,two day,south,"House 63, Green Park, New Delhi",28.727,76.91832,28.6417,77.22177,stormy,233.4,16.7,delivered,1217.1
806,blue dart,fragile items,66.66,van,express,east,"House 94, Mayur Vihar, New Delhi",28.45029,77.04416,28.6417,77.22177,clear,255,15.44,delayed,1371.32
812,blue dart,automobile parts,40.91,van,express,south,"House 175, Malviya Nagar, New Delhi",28.4025,77.15155,28.6417,77.22177,foggy,287.8,2.47,delayed,1496.41
815,blue dart,pharmacy,37.27,van,express,north,"House 476, Patel Nagar, New Delhi",28.77666,77.28229,28.6417,77.22177,rainy,129.3,0.67,delayed,698.51
816,blue dart,cosmetics,49.25,ev van,express,west,"House 136, Preet Vihar, New Delhi",28.62551,77.27344,28.6417,77.22177,rainy,73.5,21.27,delayed,481.31
829,blue dart,cosmetics,48.29,scooter,two day,central,"House 235, Rohini, New Delhi",28.55535,76.98558,28.6417,77.22177,clear,70.3,44.95,delivered,486.35
835,blue dart,pharmacy,11.4,ev van,express,north,"House 389, Pitampura, New Delhi",28.69316,76.99967,28.6417,77.22177,stormy,31.6,30.58,delayed,299.74
837,blue dart,automobile parts,8.52,bike,two day,central,"House 352, Malviya Nagar, New Delhi",28.62764,76.9524,28.6417,77.22177,cold,24.5,35.61,delivered,229.33
849,blue dart,cosmetics,39.18,ev bike,two day,central,"House 392, Malviya Nagar, New Delhi",28.71495,77.19718,28.6417,77.22177,hot,89.5,12.46,delivered,484.88
852,blue dart,electronics,52.28,scooter,express,east,"House 383, Hauz Khas, New Delhi",28.41267,76.95073,28.6417,77.22177,clear,29.8,5.31,delivered,214.93
856,blue dart,electronics,34.08,van,express,east,"House 473, Vasant Kunj, New Delhi",28.44987,77.20811,28.6417,77.22177,clear,250.1,1.71,delayed,1305.63
860,blue dart,pharmacy,28.61,scooter,two day,central,"House 270, Rajouri Garden, New Delhi",28.72956,77.02009,28.6417,77.22177,hot,297.1,9.41,delivered,1524.23
865,blue dart,groceries,50.84,ev bike,same day,west,"House 396, Connaught Place, New Delhi",28.58316,76.99819,28.6417,77.22177,clear,72.2,27.69,delivered,544.07
867,blue dart,cosmetics,10.43,scooter,express,west,"House 298, Saket, New Delhi",28.78091,76.861,28.6417,77.22177,cold,242.5,31.32,delivered,1356.46
868,blue dart,cosmetics,59.36,ev bike,standard,north,"House 373, Mayur Vihar, New Delhi",28.7362,77.34888,28.6417,77.22177,stormy,226.3,15.83,delivered,1178.99
882,blue dart,cosmetics,78.48,bike,express,south,"House 329, Janakpuri, New Delhi",28.87065,76.94658,28.6417,77.22177,hot,198.4,14.03,failed,1084.09
885,blue dart,clothing,22.92,van,two day,west,"House 4, Hauz Khas, New Delhi",28.59234,76.9527,28.6417,77.22177,foggy,152.3,44.84,delivered,896.02
904,blue dart,clothing,66.67,bike,same day,south,"House 15, Kalkaji, New Delhi",28.60339,76.97275,28.6417,77.22177,hot,152.1,37.72,delivered,973.66
918,blue dart,automobile parts,66.27,truck,express,central,"House 137, Shahdara, New Delhi",28.75501,77.22841,28.6417,77.22177,foggy,170,11.6,delayed,934.8
921,blue dart,clothing,51.51,ev bike,standard,north,"House 449, Nehru Place, New Delhi",28.52215,77.22003,28.6417,77.22177,stormy,223.9,29.96,delivered,1209.38
955,blue dart,fragile items,49.95,ev van,standard,central,"House 461, Preet Vihar, New Delhi",28.81378,77.08452,28.6417,77.22177,stormy,219.6,17.46,delivered,1150.38
963,blue dart,clothing,50.35,scooter,same day,west,"House 500, Pitampura, New Delhi",28.49963,77.09376,28.6417,77.22177,cold,145.6,23.48,delivered,898.44
990,blue dart,fragile items,47.91,bike,same day,south,"House 332, Model Town, New Delhi",28.53029,77.12091,28.6417,77.22177,hot,167.1,39.01,delivered,1052.53
1001,blue dart,documents,9.13,ev bike,express,east,"House 186, Janakpuri, New Delhi",28.59292,76.97574,28.6417,77.22177,hot,32.7,41.09,delivered,336.77
1004,blue dart,cosmetics,51.44,ev van,two day,west,"House 337, Okhla, New Delhi",28.64259,76.93267,28.6417,77.22177,foggy,270.2,40.54,delivered,1472.62
1007,blue dart,documents,74.24,ev bike,two day,east,"House 57, Pitampura, New Delhi",28.69567,77.22786,28.6417,77.22177,stormy,267.5,16.77,delivered,1387.81
1012,blue dart,pharmacy,3.32,bike,same day,north,"House 260, Patel Nagar, New Delhi",28.8255,77.03057,28.6417,77.22177,hot,62.7,33.66,delivered,514.48
1016,blue dart,groceries,76.55,ev van,two day,west,"House 446, Lajpat Nagar, New Delhi",28.50655,77.3096,28.6417,77.22177,foggy,102.5,25.58,delivered,589.24
1023,blue dart,automobile parts,69.65,truck,express,south,"House 397, Defence Colony, New Delhi",28.45227,77.14422,28.6417,77.22177,foggy,91.8,13.19,delivered,548.57
1024,blue dart,pharmacy,52.29,van,standard,central,"House 208, Tilak Nagar, New Delhi",28.652,77.08823,28.6417,77.22177,foggy,20.3,34.22,delivered,204.16
1025,blue dart,fragile items,35.91,ev bike,standard,central,"House 379, Shahdara, New Delhi",28.4664,77.04135,28.6417,77.22177,clear,113.3,27.87,delivered,650.11
1040,blue dart,clothing,43.75,bike,same day,north,"House 395, Malviya Nagar, New Delhi",28.55593,76.94896,28.6417,77.22177,rainy,180.5,14.8,delivered,1046.9
1042,blue dart,automobile parts,56.61,bike,standard,west,"House 299, Sarita Vihar, New Delhi",28.73028,77.05636,28.6417,77.22177,clear,115.8,10,delivered,609
1080,blue dart,automobile parts,33.56,ev van,two day,west,"House 406, Hauz Khas, New Delhi",28.82812,76.93718,28.6417,77.22177,stormy,41.1,35.29,delivered,311.37
1086,blue dart,electronics,73.65,scooter,standard,west,"House 360, Chandni Chowk, New Delhi",28.65371,77.23102,28.6417,77.22177,rainy,168.7,25.04,delivered,918.62
1087,blue dart,fragile items,74.89,ev bike,same day,north,"House 217, Pitampura, New Delhi",28.87644,77.05194,28.6417,77.22177,rainy,227.7,0.67,delayed,1240.36
1093,blue dart,furniture,23.79,van,two day,south,"House 42, Model Town, New Delhi",28.44771,76.96077,28.6417,77.22177,cold,48.6,13.67,delivered,284.01
1097,blue dart,cosmetics,61.27,ev van,standard,south,"House 389, Janakpuri, New Delhi",28.7712,76.94635,28.6417,77.22177,stormy,192.3,17.27,delivered,1013.31
1125,blue dart,documents,58.98,van,express,central,"House 88, Kirti Nagar, New Delhi",28.64014,77.03409,28.6417,77.22177,clear,276.2,23.86,delayed,1502.58
1126,blue dart,pharmacy,68.29,scooter,standard,west,"House 26, Malviya Nagar, New Delhi",28.5103,77.09535,28.6417,77.22177,foggy,165.7,46.56,delivered,968.18
1127,blue dart,furniture,50.25,scooter,standard,east,"House 301, Civil Lines, New Delhi",28.40553,76.96834,28.6417,77.22177,cold,42.8,13.17,delivered,253.51
1133,blue dart,electronics,79.43,bike,standard,south,"House 155, Model Town, New Delhi",28.76639,77.21525,28.6417,77.22177,stormy,112.4,27.41,delivered,644.23
1141,blue dart,electronics,24.11,ev van,two day,north,"House 107, Tilak Nagar, New Delhi",28.65385,76.84327,28.6417,77.22177,clear,148.6,23.48,delivered,813.44
1144,blue dart,clothing,2.94,scooter,two day,north,"House 44, Model Town, New Delhi",28.71752,76.97015,28.6417,77.22177,stormy,176.1,0.85,delivered,883.05
1150,blue dart,electronics,45.21,van,same day,central,"House 32, Malviya Nagar, New Delhi",28.8613,77.19007,28.6417,77.22177,stormy,117.8,12.54,failed,726.62
1158,blue dart,cosmetics,3.78,ev van,two day,west,"House 153, Lajpat Nagar, New Delhi",28.60871,77.21412,28.6417,77.22177,hot,3.6,47.06,delivered,152.68
1163,blue dart,groceries,75.25,bike,two day,central,"House 204, Kalkaji, New Delhi",28.80013,77.17246,28.6417,77.22177,clear,289.6,9.61,delivered,1476.83
1199,blue dart,clothing,56.95,ev bike,standard,east,"House 227, Karol Bagh, New Delhi",28.42468,77.03703,28.6417,77.22177,clear,268.4,7.32,delivered,1363.96
1201,blue dart,automobile parts,59.42,scooter,two day,north,"House 351, Rohini, New Delhi",28.73895,77.26319,28.6417,77.22177,stormy,6.6,20.89,delivered,95.67
1212,blue dart,cosmetics,11.37,van,two day,south,"House 371, Shalimar Bagh, New Delhi",28.49628,76.85003,28.6417,77.22177,hot,287.3,39.6,delivered,1555.3
1214,blue dart,fragile items,37.9,ev bike,standard,south,"House 323, Chandni Chowk, New Delhi",28.47542,76.85664,28.6417,77.22177,hot,233.1,10.75,delivered,1197.75
1219,blue dart,pharmacy,53.4,scooter,two day,central,"House 171, Shalimar Bagh, New Delhi",28.43795,76.92808,28.6417,77.22177,stormy,170.4,13.42,delivered,892.26
1231,blue dart,furniture,73.04,scooter,express,central,"House 331, Okhla, New Delhi",28.44158,76.88985,28.6417,77.22177,stormy,199.2,44.98,failed,1180.94
1245,blue dart,clothing,25.11,scooter,same day,central,"House 368, Saket, New Delhi",28.74821,77.32052,28.6417,77.22177,cold,30.3,30.15,delivered,341.95
1247,blue dart,fragile items,41.31,van,two day,south,"House 432, Sarita Vihar, New Delhi",28.76358,77.11287,28.6417,77.22177,stormy,16.8,18.45,delivered,139.35
1254,blue dart,pharmacy,3.77,van,two day,south,"House 55, Karol Bagh, New Delhi",28.46044,77.28205,28.6417,77.22177,hot,173.9,44.8,delivered,1003.9
1260,blue dart,clothing,31.15,truck,two day,south,"House 102, Karol Bagh, New Delhi",28.48328,77.33949,28.6417,77.22177,clear,235.8,31.81,delivered,1274.43
1264,blue dart,fragile items,24.91,ev van,standard,west,"House 163, Defence Colony, New Delhi",28.71019,77.10604,28.6417,77.22177,stormy,255.8,47.72,delivered,1422.16
1280,blue dart,fragile items,54.77,truck,standard,north,"House 18, Green Park, New Delhi",28.63435,76.88685,28.6417,77.22177,cold,224,21.03,delivered,1183.09
1284,blue dart,electronics,66.29,truck,same day,central,"House 346, Mayur Vihar, New Delhi",28.64764,76.91764,28.6417,77.22177,foggy,176.5,29.24,delivered,1070.22
1292,blue dart,electronics,39.25,truck,two day,north,"House 343, Ashok Vihar, New Delhi",28.5109,77.15625,28.6417,77.22177,stormy,136.5,13.61,delivered,723.33
1310,blue dart,automobile parts,57.45,ev bike,two day,east,"House 261, Rohini, New Delhi",28.86977,76.98117,28.6417,77.22177,hot,5.8,15.09,delivered,95.6674
1313,blue dart,furniture,13.76,ev van,two day,east,"House 469, Ashok Vihar, New Delhi",28.65241,77.29481,28.6417,77.22177,cold,87.8,19.26,delivered,496.78
1314,blue dart,groceries,17.21,bike,same day,east,"House 475, Saket, New Delhi",28.64611,77.28444,28.6417,77.22177,clear,250.8,14.28,delivered,1396.84
1324,blue dart,clothing,14.08,ev bike,two day,west,"House 1, Kirti Nagar, New Delhi",28.48821,77.27562,28.6417,77.22177,clear,291.8,41.48,delivered,1583.44
1325,blue dart,groceries,55.42,bike,two day,west,"House 190, Model Town, New Delhi",28.60913,76.87884,28.6417,77.22177,foggy,40.2,9.2,delivered,228.6
1334,blue dart,clothing,71.15,ev bike,same day,central,"House 278, Dwarka, New Delhi",28.47685,76.89048,28.6417,77.22177,clear,128.3,7.5,delivered,764
1347,blue dart,clothing,79.76,truck,standard,central,"House 59, Nehru Place, New Delhi",28.54419,77.11798,28.6417,77.22177,hot,152.1,12.56,delivered,798.18
1371,blue dart,electronics,54.39,ev van,same day,north,"House 282, Green Park, New Delhi",28.87446,77.28657,28.6417,77.22177,stormy,72.5,23.46,delivered,532.88
1375,blue dart,cosmetics,44.32,truck,two day,south,"House 329, Chandni Chowk, New Delhi",28.59547,76.92727,28.6417,77.22177,stormy,209.1,46.24,delivered,1184.22
1401,blue dart,automobile parts,73.78,ev bike,express,west,"House 21, Shahdara, New Delhi",28.43781,77.31083,28.6417,77.22177,stormy,287.3,24.48,delayed,1559.94
1408,blue dart,documents,4.46,scooter,express,south,"House 39, Dwarka, New Delhi",28.68809,77.26951,28.6417,77.22177,hot,7,27.38,delivered,167.14
1414,blue dart,groceries,51.9,bike,standard,south,"House 318, Ashok Vihar, New Delhi",28.63272,77.30053,28.6417,77.22177,foggy,116.7,0.97,delivered,586.41
1416,blue dart,automobile parts,38.75,bike,standard,central,"House 293, Dwarka, New Delhi",28.72608,77.30914,28.6417,77.22177,cold,297.1,27.96,delivered,1574.88
